district,dtname,object-id,timeperiod,total-tender-awarded-value,land-surface-temperature,sum-aged-population,sum-young-population,sum-population,avg-electricity,pct-ncd,land-surface-temperature-raster,heat-hazard,exposure,vulnerability,government-response,total-tender-awarded-value-fy-cumsum,heat-risk-score
Anugul,Anugul,21-384-03276,2021_01,0.0,2,10006.68499999994,11366.555,194589.0390625,10.000471394407652,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Anugul,Anugul,21-384-03277,2021_01,0.0,2,7791.72499999986,8856.279999999999,141697.03125,10.01799541771366,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Anugul,Anugul,21-384-03278,2021_01,0.0,2,10448.029999999912,11844.015,180526.90625,10.731610829521571,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Anugul,Anugul,21-384-03279,2021_01,0.0,2,17080.58499999973,19433.61500000005,260395.75,9.539741971187937,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Anugul,Anugul,21-384-03280,2021_01,0.0,2,7159.899999999965,8132.885000000002,154138.7734375,10.441538461538462,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Anugul,Anugul,21-384-03281,2021_01,0.0,2,4340.150000000023,4930.324999999999,117449.66015625,8.734791168069172,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Anugul,Anugul,21-384-03282,2021_01,0.0,2,10442.10499999998,12476.98999999999,159464.1875,8.805416694073537,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Anugul,Anugul,21-384-03283,2021_01,0.0,2,11771.525000000023,13340.229999999996,198442.7421875,10.504343694855436,5.94,LST_ODISHA_2021_01.tif,3,4,1,3,0.0,2
Balangir,Balangir,21-393-03284,2021_01,0.0,5,8967.800000000047,9298.684999999998,97394.37890625,10.856164728389468,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03285,2021_01,0.0,5,20738.11499999999,21908.89500000002,247379.953125,10.39988421383154,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03286,2021_01,0.0,5,12496.39500000002,13190.950000000012,155077.1875,9.171054783319706,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03287,2021_01,0.0,5,11810.810000000056,12472.630000000005,142675.796875,10.178015693576274,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03288,2021_01,0.0,5,10782.324999999952,11390.36499999999,129626.28125,9.749360925136944,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03289,2021_01,0.0,5,1996.7200000000012,2142.4199999999983,76225.64453125,11.207150534713556,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03290,2021_01,0.0,5,8839.69000000006,9214.524999999994,120215.28515625,9.313562061322497,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03291,2021_01,0.0,5,13988.090000000084,14759.350000000037,194250.078125,10.698392787142296,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03292,2021_01,0.0,5,9952.284999999916,10508.195000000009,128936.2734375,9.440619426436031,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03293,2021_01,0.0,5,13653.879999999888,14406.669999999984,187733.6328125,11.007928586790744,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03294,2021_01,0.0,5,14820.09999999986,15644.660000000033,124353.33203125,10.037966375523805,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03295,2021_01,0.0,5,7906.75,8351.125,149351.3984375,10.1824843552414,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03296,2021_01,0.0,5,22320.165000000037,23685.01999999996,187600.109375,10.794120569564624,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Balangir,Balangir,21-393-03297,2021_01,0.0,5,8375.369999999995,8858.39499999999,128837.671875,8.915403421237148,4.345,LST_ODISHA_2021_01.tif,3,3,1,3,0.0,1
Baleshwar,Baleshwar,21-377-03298,2021_01,0.0,3,6425.255000000005,6840.265000000007,161455.09375,11.429175784099195,6.262499999999999,LST_ODISHA_2021_01.tif,3,4,2,3,0.0,2
Baleshwar,Baleshwar,21-377-03299,2021_01,0.0,3,21462.75,22867.04500000004,429714.0,13.213350739398113,6.262499999999999,LST_ODISHA_2021_01.tif,3,4,2,3,0.0,2
